mass,WW,WZ,WH,ZH
0.5,0.552862,0.428731,0.552862,0.567236
0.53,0.552862,0.428731,0.552862,0.567236
0.55,0.552862,0.428731,0.552862,0.567236
0.57,0.552862,0.428731,0.552862,0.567236
0.6,0.552862,0.428731,0.552862,0.567236
0.62,0.552862,0.428731,0.552862,0.567236
0.65,0.552862,0.428731,0.552862,0.567236
0.68,0.552862,0.428731,0.552862,0.567236
0.7,0.552862,0.428731,0.552862,0.567236
0.72,0.552862,0.428731,0.552862,0.567236
0.75,0.552862,0.428731,0.552862,0.567236
0.78,0.552862,0.428731,0.552862,0.567236
0.8,0.552862,0.428731,0.552862,0.567236
0.82,0.522327,0.451309,0.522327,0.534051
0.85,0.522327,0.451309,0.522327,0.534051
0.88,0.522327,0.451309,0.522327,0.534051
0.9,0.522327,0.451309,0.522327,0.534051
0.93,0.50797,0.460359,0.50797,0.517614
0.95,0.50797,0.460359,0.50797,0.517614
0.97,0.50797,0.460359,0.50797,0.517614
1,0.50797,0.460359,0.50797,0.517614
1.05,0.49948,0.464974,0.49948,0.507523
1.1,0.49948,0.464974,0.49948,0.507523
1.15,0.493896,0.467605,0.493896,0.500699
1.2,0.493896,0.467605,0.493896,0.500699
1.25,0.489978,0.469214,0.489978,0.495803
1.3,0.489978,0.469214,0.489978,0.495803
1.35,0.487101,0.470248,0.487101,0.492143
1.4,0.487101,0.470248,0.487101,0.492143
1.45,0.484915,0.470938,0.484915,0.489321
1.5,0.484915,0.470938,0.484915,0.489321
1.55,0.48321,0.471413,0.48321,0.487091
1.6,0.48321,0.471413,0.48321,0.487091
1.65,0.481851,0.471749,0.481851,0.485295
1.7,0.481851,0.471749,0.481851,0.485295
1.75,0.480747,0.471991,0.480747,0.483825
1.8,0.480747,0.471991,0.480747,0.483825
1.9,0.479838,0.472168,0.479838,0.482604
2,0.479079,0.472301,0.479079,0.481578
2.1,0.478438,0.472401,0.478438,0.480707
2.2,0.477892,0.472477,0.477892,0.479961
2.3,0.477422,0.472536,0.477422,0.479317
2.4,0.477015,0.472582,0.477015,0.478756
2.5,0.476659,0.472619,0.476659,0.478265
2.6,0.476347,0.472647,0.476347,0.477833
2.7,0.476071,0.47267,0.476071,0.477449
2.8,0.475827,0.472688,0.475827,0.477109
2.9,0.475608,0.472703,0.475608,0.476804
3,0.475412,0.472715,0.475412,0.47653
3.1,0.475236,0.472724,0.475236,0.476283
3.2,0.475077,0.472732,0.475077,0.47606
3.3,0.474933,0.472738,0.474933,0.475857
3.4,0.474802,0.472743,0.474802,0.475673
3.5,0.474682,0.472748,0.474682,0.475504
3.6,0.474573,0.472751,0.474573,0.47535
3.7,0.474473,0.472754,0.474473,0.475209
3.8,0.474381,0.472756,0.474381,0.475078
3.9,0.474296,0.472758,0.474296,0.474958
4,0.474217,0.472759,0.474217,0.474847
4.1,0.474217,0.472759,0.474217,0.474847
4.2,0.474217,0.472759,0.474217,0.474847
4.3,0.474217,0.472759,0.474217,0.474847
4.4,0.474217,0.472759,0.474217,0.474847
4.5,0.474217,0.472759,0.474217,0.474847
4.6,0.474217,0.472759,0.474217,0.474847
4.7,0.474217,0.472759,0.474217,0.474847
4.8,0.474217,0.472759,0.474217,0.474847
4.9,0.474217,0.472759,0.474217,0.474847
5,0.474217,0.472759,0.474217,0.474847
5.1,0.474217,0.472759,0.474217,0.474847
5.2,0.474217,0.472759,0.474217,0.474847
5.3,0.474217,0.472759,0.474217,0.474847
5.4,0.474217,0.472759,0.474217,0.474847
5.5,0.474217,0.472759,0.474217,0.474847
5.6,0.474217,0.472759,0.474217,0.474847
5.7,0.474217,0.472759,0.474217,0.474847
5.8,0.474217,0.472759,0.474217,0.474847
5.9,0.474217,0.472759,0.474217,0.474847
6,0.474217,0.472759,0.474217,0.474847
