mass,WZ,WH,WW,ZH
0.8,0.49079382677370886,0.4864597237467421,0.47551699640418593,0.5008739253215986
0.9,0.49328307354936596,0.4889883204214485,0.4814939341503474,0.49862302581912865
1.0,0.4915766732864431,0.488291968014953,0.47903546664783253,0.4960296678296935
1.1,0.49099303528450583,0.4866868052567112,0.4815020463817693,0.4937373013564533
1.2,0.4925509987907663,0.49085389754923964,0.4845637368729848,0.4959206994559454
1.3,0.49075080061282983,0.4879793156557585,0.4843073407627646,0.49305329725509445
1.4,0.49163756813761855,0.4874862255839837,0.48571735457737597,0.4924764036341717
1.5,0.4893708856302504,0.4867655393003644,0.4848197220604083,0.4907971728155683
1.6,0.49080769916971406,0.48967839601426794,0.49145534867897644,0.49982156327224697
1.7,0.4899785340900531,0.4898892685527804,0.4900246524797301,0.4963310567029474
1.8,0.49292703913030006,0.49091611801197144,0.4872258694546703,0.49249835795836083
1.9,0.49096102568688854,0.48834767743092566,0.4850762569730306,0.48874098144192024
2.0,0.4918068940841122,0.4891653531490901,0.4867174419691893,0.49042930043987903
2.1,0.48934944658639074,0.48869436031251334,0.4915637406142254,0.495303829418584
2.2,0.49094898674797693,0.4900587800630305,0.4841730133662532,0.48755823163826534
2.3,0.4919700384013314,0.4876513548162429,0.48941295775626514,0.4939302500552057
2.4,0.4883760477777905,0.4882959992533228,0.48816257568812765,0.49135631187189033
2.5,0.4906505424079964,0.49022174577928057,0.4867113752048156,0.49055889595742286
2.6,0.4898362091292835,0.4896947197563403,0.4855124391379581,0.4880722586764711
2.7,0.4875750548769883,0.48869463020391596,0.4873673489574115,0.49039212691835743
2.8,0.49253962050392874,0.4932776918633252,0.49010994886941306,0.49081168125683095
2.9,0.4901022639500999,0.48561766807081796,0.48911708185949243,0.4911148371291704
3.0,0.48973485249365695,0.48889769889965073,0.4933444279847333,0.49448076348505254
3.1,0.48924772386665316,0.48718361667147914,0.4887698171331937,0.49047284785491213
3.2,0.48984791951154943,0.49161402824933265,0.4906053884617226,0.49297904622265015
3.3,0.4891725335340994,0.490085168857857,0.4882248189195813,0.4897680028592718
3.4,0.4890386781842537,0.4897465749439896,0.4891609736631838,0.49167723381577216
3.5,0.4907687549967808,0.490161367923765,0.4894992322720914,0.49145722920117985
3.6,0.49337202022543325,0.48867510293649624,0.48743609701951374,0.4899638555174542
3.7,0.48902141360528295,0.48727312458830796,0.48907328104916015,0.4901078382012347
3.8,0.48828510377690487,0.4873276820047933,0.4860210005983262,0.4888242940408544
3.9,0.4900760668166975,0.4884328947569601,0.4875995973361922,0.48968413093075214
4.0,0.49275891645109804,0.4920759883152916,0.48986010785155387,0.4888089059033746
4.1,0.49042534025771406,0.489217726560773,0.4898799416094048,0.49033241692493074
4.2,0.4891251318303836,0.4889544968637587,0.49063066033340286,0.4916037477200221
4.3,0.4902707241723857,0.4891788071920463,0.48966366094167246,0.49166945166749604
4.4,0.4899319408489367,0.4875724952414489,0.4872692916243409,0.4888785032875653
4.5,0.49399530465962144,0.4945322560777297,0.4893921704577998,0.4914658660953329
4.6,0.4905304590124357,0.4923380332510812,0.4903181213334757,0.49400311756177434
4.7,0.486932739992927,0.48922418818112906,0.48871570962441907,0.48905837945307173
4.8,0.49126366104047176,0.4879567254014559,0.48990203868145904,0.491310056037109
4.9,0.4914369569579651,0.48910566209573564,0.4913636941949098,0.492613694342029
5.0,0.4899647235420325,0.49091692025971406,0.49105734945638513,0.4920812998425021
5.1,0.4902482946527352,0.49702662279070214,0.4906772837858877,0.49161980642089714
5.2,0.4898738468026273,0.4910337690918205,0.48774329828346624,0.4899142625191494
5.3,0.4866542666477014,0.4886185623758455,0.4848665297624849,0.4851767450726336
5.4,0.488693736541855,0.4897929833785494,0.48989100896953,0.4919103453626442
5.5,0.49022041553055873,0.49283653433265123,0.49263366756469346,0.4933697264063056
5.6,0.4892964396315374,0.48981013668101936,0.49230111643846314,0.4949468024714107
5.7,0.49356143407754627,0.49191403276220064,0.4852115158000161,0.4922878810826595
5.8,0.4896789264542091,0.4875826981731551,0.4879014566564159,0.48756185007405645
5.9,0.4908294583610051,0.4891570343986847,0.48711737045622194,0.4884434613013841
6.0,0.4880900359233304,0.4928045419521352,0.4861571654332351,0.48959425458398076
