M0,g_x,gv_x,ch_x,cl_x,GammaTotZp,WW,ZH,BRee,BRmumu,tautau,vv,BRuu,BRdd,BRcc,BRss,BRbb,tt,BRll,BRqq,BRjets_x,gH_x,gF_x,Zp_dijet,ll,gH_mod_X_sign_gF,gF_mod,g_y,gv_y,ch_y,cl_y,GammaTotWp,WH,WZ,BReve,BRmvm,tauvt,BRud,BRus,BRcd,BRcs,tb,BRlnu,BRqqbar,BRjets_y,gH_y,gF_y,Wp_dijet,lv,mass,GoM,dijet
200.0,0.6534,1.0,-2.928,0.34198,38.5823,0.51603115,0.45499817,0.0013749567,0.0013749567,0.0013749466,0.0032241836,0.0038025223,0.0035022933,0.0038025028,0.0035022933,0.0035020798,0.003509944,0.0027499134,0.014609612,0.021621635,-2.928,0.146,0.0146096117,0.0027499134,2.928,0.146,0.6534,1.0,-2.928,0.34198,38.634567,0.44509637,0.5245799,0.0024237928,0.0024237928,0.0024237814,0.0069012,0.00037017895,0.00037017782,0.006901179,0.0069450526,0.0048475857,0.014542736,0.021487787,-2.928,0.146,0.01454273577,0.0048475856,0.2,0.038634566999999995,0.0146096117
400.0,0.6534,1.0,-2.928,0.34198,38.5823,0.51603115,0.45499817,0.0013749567,0.0013749567,0.0013749466,0.0032241836,0.0038025223,0.0035022933,0.0038025028,0.0035022933,0.0035020798,0.003509944,0.0027499134,0.014609612,0.021621635,-2.928,0.146,0.0146096117,0.0027499134,2.928,0.146,0.6534,1.0,-2.928,0.34198,38.634567,0.44509637,0.5245799,0.0024237928,0.0024237928,0.0024237814,0.0069012,0.00037017895,0.00037017782,0.006901179,0.0069450526,0.0048475857,0.014542736,0.021487787,-2.928,0.146,0.01454273577,0.0048475856,0.4,0.038634566999999995,0.0146096117
500.0,0.6534,1.0,-2.928,0.34198,38.5823,0.51603115,0.45499817,0.0013749567,0.0013749567,0.0013749466,0.0032241836,0.0038025223,0.0035022933,0.0038025028,0.0035022933,0.0035020798,0.003509944,0.0027499134,0.014609612,0.021621635,-2.928,0.146,0.0146096117,0.0027499134,2.928,0.146,0.6534,1.0,-2.928,0.34198,38.634567,0.44509637,0.5245799,0.0024237928,0.0024237928,0.0024237814,0.0069012,0.00037017895,0.00037017782,0.006901179,0.0069450526,0.0048475857,0.014542736,0.021487787,-2.928,0.146,0.01454273577,0.0048475856,0.5,0.038634566999999995,0.0146096117
800.0,0.6534,1.0,-2.928,0.34198,38.5823,0.51603115,0.45499817,0.0013749567,0.0013749567,0.0013749466,0.0032241836,0.0038025223,0.0035022933,0.0038025028,0.0035022933,0.0035020798,0.003509944,0.0027499134,0.014609612,0.021621635,-2.928,0.146,0.0146096117,0.0027499134,2.928,0.146,0.6534,1.0,-2.928,0.34198,38.634567,0.44509637,0.5245799,0.0024237928,0.0024237928,0.0024237814,0.0069012,0.00037017895,0.00037017782,0.006901179,0.0069450526,0.0048475857,0.014542736,0.021487787,-2.928,0.146,0.01454273577,0.0048475856,0.8,0.038634566999999995,0.0146096117
1800.0,0.6534,1.0,-2.928,0.34198,38.5823,0.51603115,0.45499817,0.0013749567,0.0013749567,0.0013749466,0.0032241836,0.0038025223,0.0035022933,0.0038025028,0.0035022933,0.0035020798,0.003509944,0.0027499134,0.014609612,0.021621635,-2.928,0.146,0.0146096117,0.0027499134,2.928,0.146,0.6534,1.0,-2.928,0.34198,38.634567,0.44509637,0.5245799,0.0024237928,0.0024237928,0.0024237814,0.0069012,0.00037017895,0.00037017782,0.006901179,0.0069450526,0.0048475857,0.014542736,0.021487787,-2.928,0.146,0.01454273577,0.0048475856,1.8,0.038634566999999995,0.0146096117
1000.0,0.6534,1.0,-2.928,0.34198,38.5823,0.51603115,0.45499817,0.0013749567,0.0013749567,0.0013749466,0.0032241836,0.0038025223,0.0035022933,0.0038025028,0.0035022933,0.0035020798,0.003509944,0.0027499134,0.014609612,0.021621635,-2.928,0.146,0.0146096117,0.0027499134,2.928,0.146,0.6534,1.0,-2.928,0.34198,38.634567,0.44509637,0.5245799,0.0024237928,0.0024237928,0.0024237814,0.0069012,0.00037017895,0.00037017782,0.006901179,0.0069450526,0.0048475857,0.014542736,0.021487787,-2.928,0.146,0.01454273577,0.0048475856,1.0,0.038634566999999995,0.0146096117
1300.0,0.6534,1.0,-2.928,0.34198,38.5823,0.51603115,0.45499817,0.0013749567,0.0013749567,0.0013749466,0.0032241836,0.0038025223,0.0035022933,0.0038025028,0.0035022933,0.0035020798,0.003509944,0.0027499134,0.014609612,0.021621635,-2.928,0.146,0.0146096117,0.0027499134,2.928,0.146,0.6534,1.0,-2.928,0.34198,38.634567,0.44509637,0.5245799,0.0024237928,0.0024237928,0.0024237814,0.0069012,0.00037017895,0.00037017782,0.006901179,0.0069450526,0.0048475857,0.014542736,0.021487787,-2.928,0.146,0.01454273577,0.0048475856,1.3,0.038634566999999995,0.0146096117
2000.0,0.6534,1.0,-2.928,0.34198,63.19154,0.48133647,0.4706373,0.0020503874,0.0020503874,0.0020503828,0.005890302,0.0060629793,0.0059760255,0.0060629705,0.0059760255,0.005975928,0.0059308503,0.004100775,0.024078,0.03598478,-2.928,0.146,0.0240780008,0.0041007748,2.928,0.146,0.6534,1.0,-2.928,0.34198,63.195732,0.46811727,0.48350975,0.0040123435,0.0040123435,0.004012339,0.011424237,0.0006127937,0.00061279326,0.011424229,0.011901991,0.008024687,0.024074053,0.035976045,-2.928,0.146,0.024074052959999998,0.008024687,2.0,0.031597866,0.0240780008
3000.0,0.6534,1.0,-2.928,0.34198,92.15161,0.47638977,0.4718975,0.0021771528,0.0021771528,0.0021771505,0.0064130723,0.006491758,0.006452296,0.0064917537,0.006452296,0.0064522484,0.0064278473,0.0043543056,0.025888104,0.0387682,-2.928,0.146,0.0258881037,0.0043543056,2.928,0.146,0.6534,1.0,-2.928,0.34198,92.15277,0.47077593,0.47735602,0.004314556,0.004314556,0.0043145535,0.0122847175,0.0006589497,0.0006589495,0.012284713,0.012879129,0.008629112,0.02588733,0.03876646,-2.928,0.146,0.0258873297,0.008629112,3.0,0.030717590000000003,0.0258881037
4000.0,0.6534,1.0,-2.928,0.34198,121.71536,0.474731,0.4722529,0.0022217426,0.0022217426,0.0022217412,0.006598168,0.0066427994,0.006620446,0.006642797,0.006620446,0.0066204187,0.006605814,0.0044434853,0.026526488,0.03975272,-2.928,0.146,0.0265264884,0.0044434852,2.928,0.146,0.6534,1.0,-2.928,0.34198,121.715836,0.47162175,0.4752745,0.0044210413,0.0044210413,0.00442104,0.0125879105,0.00067521294,0.0006752128,0.012587909,0.013225925,0.008842083,0.026526244,0.03975217,-2.928,0.146,0.02652624524,0.0088420826,4.0,0.030428959,0.0265264884
